2012-09-18,225461
2012-09-17,223956
2012-09-16,222512
2012-09-15,221171
2012-09-14,219893
2012-09-13,218547
2012-09-12,217202
2012-09-11,215244
2012-09-10,215193
2012-09-09,215103
2012-09-08,215018
2012-09-07,212388
2012-09-06,212345
2012-09-05,212314
2012-09-04,212276
2012-09-03,212256
2012-09-02,212215
2012-09-01,212146
2012-08-31,212116
2012-08-30,212094
2012-08-29,212063
2012-08-28,212006
2012-08-27,211971
2012-08-26,211879
2012-08-25,211786
2012-08-24,211751
2012-08-23,211728
2012-08-22,211710
2012-08-21,211733
2012-08-20,211657
2012-08-19,211597
2012-08-18,211508
2012-08-17,211454
2012-08-16,211373
2012-08-15,211240
2012-08-14,210764
2012-08-13,210396
2012-08-12,210063
2012-08-11,209796
2012-08-10,209580
2012-08-09,209570
2012-08-08,209574
2012-08-07,209540
2012-08-06,209514
2012-08-05,209500
2012-08-04,209481
2012-08-03,209467
2012-08-02,209219
2012-08-01,209022
2012-07-31,208788
2012-07-30,208258
2012-07-29,207305
2012-07-28,206559
2012-07-27,205886
2012-07-26,204516
2012-07-25,202317
2012-07-24,200048
2012-07-23,199405
2012-07-22,198627
2012-07-21,197818
2012-07-20,196671
2012-07-19,195643
2012-07-18,194626
2012-07-17,193789
2012-07-16,192908
2012-07-15,192359
2012-07-14,191891
2012-07-13,190721
2012-07-12,190670
2012-07-11,190600
2012-07-10,190535
2012-07-09,190510
2012-07-08,190472
2012-07-07,190425
2012-07-06,190364
2012-07-05,190335
2012-07-04,189870
2012-07-03,185371
2012-07-02,181749
2012-07-01,181695
2012-06-30,181647
2012-06-29,180056
2012-06-28,177820
2012-06-27,174354
2012-06-26,173636
2012-06-25,173502
2012-06-24,173478
2012-06-23,173463
2012-06-22,173482
2012-06-20,173452
2012-06-19,173424
2012-06-18,173386
2012-06-17,173371
2012-06-16,173365
2012-06-15,173398
2012-06-14,173411
2012-06-13,173395
2012-06-12,173385
2012-06-11,173366
2012-06-10,173350
2012-06-09,173329
2012-06-08,173308
2012-06-07,173264
2012-06-06,173236
2012-06-04,173174
2012-06-03,173147
2012-06-02,173107
2012-06-01,173081
2012-05-31,173055
2012-05-30,172993
2012-05-29,172908
2012-05-28,172833
2012-05-27,172737
2012-05-26,172644
2012-05-25,172549
2012-05-24,172307
2012-05-23,172029
2012-05-22,171835
2012-05-21,171739
2012-05-20,171651
2012-05-19,171578
2012-05-18,171500
2012-05-17,171417
2012-05-16,171295
2012-05-15,171189
2012-05-14,171061
2012-05-13,170988
2012-05-12,170922
2012-05-11,170809
2012-05-10,170673
2012-05-09,170546
2012-05-08,170256
2012-05-07,170046
2012-05-06,169780
2012-05-05,169583
2012-05-04,169395
2012-05-03,169147
2012-05-02,168795
2012-05-01,168290
2012-04-30,167897
2012-04-29,167469
2012-04-28,167113
2012-04-27,166681
2012-04-26,166011
2012-04-25,165190
2012-04-24,164199
2012-04-23,163279
2012-04-22,162910
2012-04-21,160155
2012-04-20,155096
2012-04-19,151926
2012-04-18,148547
2012-04-17,144402
2012-04-16,140673
2012-04-15,137308
2012-04-14,134337
2012-04-13,131266
2012-04-12,127323
2012-04-11,123786
2012-04-10,118926
2012-04-09,113737
2012-04-08,109333
2012-04-07,104610
2012-04-06,98259
2012-04-05,86565
2012-04-04,82423
2012-04-03,76548
2012-04-02,70531
2012-04-01,67910
2012-03-31,65331
2012-03-30,63135
2012-03-29,60259
2012-03-28,57006
2012-03-27,54319
2012-03-26,52111
2012-03-25,50415
2012-03-24,48468
2012-03-23,46415
2012-03-22,44590
2012-03-21,43061
2012-03-20,41469
2012-03-19,39627
2012-03-18,37498
2012-03-17,35596
2012-03-16,33458
2012-03-15,30764
2012-03-14,25850
2012-03-13,15470
2012-03-12,13355
2012-03-11,13333
2012-03-10,13316
2012-03-09,13291
2012-03-08,13282
2012-03-07,13249
2012-03-06,13226
2012-03-05,13205
2012-03-04,13190
2012-03-03,13163
2012-03-02,13135
2012-03-01,13104
2012-02-29,13085
2012-02-28,13058
2012-02-27,13035
2012-02-26,13024
2012-02-25,13010
2012-02-24,12991
2012-02-23,12970
2012-02-22,12962
2012-02-21,12947
2012-02-20,12933
2012-02-19,12924
2012-02-18,12916
2012-02-17,12906
2012-02-16,12901
2012-02-15,12897
2012-02-14,12890
2012-02-13,12873
2012-02-12,12864
2012-02-11,12861
2012-02-10,12850
2012-02-09,12839
2012-02-08,12825
2012-02-07,12811
2012-02-06,12798
2012-02-05,12787
2012-02-04,12786
2012-02-03,12776
2012-02-02,12762
2012-02-01,12755
2012-01-31,12739
2012-01-30,12732
2012-01-29,12710
2012-01-28,12698
2012-01-27,12687
2012-01-26,12665
2012-01-25,12646
2012-01-24,12626
2012-01-23,12612
2012-01-22,12600
2012-01-21,12585
2012-01-20,12575
2012-01-19,12561
2012-01-18,12546
2012-01-17,12534
2012-01-16,12520
2012-01-15,12505
2012-01-14,12489
2012-01-13,12477
2012-01-12,12458
2012-01-11,12444
2012-01-10,12429
2012-01-09,12416
2012-01-08,12403
2012-01-07,12387
2012-01-06,12365
2012-01-05,12347
2012-01-04,12330
2012-01-03,12313
2012-01-02,12300
2012-01-01,12283
2011-12-31,12279
2011-12-30,12271
2011-12-29,12254
2011-12-28,12248
2011-12-27,12221
2011-12-26,12216
2011-12-25,12207
2011-12-24,12194
2011-12-23,12189
2011-12-22,12183
2011-12-21,12166
2011-12-20,12153
2011-12-19,12139
2011-12-18,12137
2011-12-17,12129
2011-12-16,12126
2011-12-15,12111
2011-12-14,12100
2011-12-13,12088
2011-12-12,12070
2011-12-11,12060
2011-12-10,12048
2011-12-09,12040
2011-12-08,12026
2011-12-07,12015
2011-12-06,12003
2011-12-05,11991
2011-12-04,11977
2011-12-03,11964
2011-12-02,11948
2011-12-01,11940
2011-11-30,11933
2011-11-29,11912
2011-11-28,11896
2011-11-27,11880
2011-11-26,11866
2011-11-25,11863
2011-11-24,11848
2011-11-23,11833
2011-11-22,11803
2011-11-21,11774
2011-11-20,11742
2011-11-19,11705
2011-11-18,11676
2011-11-17,11626
2011-11-16,11567
2011-11-14,11468
2011-11-13,11409
2011-11-12,11373
2011-11-11,11325
2011-11-10,11292
2011-11-09,11225
2011-11-08,11181
2011-11-07,11128
2011-11-06,11082
2011-11-05,11057
2011-11-04,11007
2011-11-03,10959
2011-11-02,10905
2011-11-01,10856
2011-10-31,10820
2011-10-30,10778
2011-10-29,10754
2011-10-28,10728
2011-10-27,10697
2011-10-26,10663
2011-10-25,10626
2011-10-24,10604
2011-10-23,10584
2011-10-22,10570
2011-10-21,10549
2011-10-20,10513
2011-10-19,10472
2011-10-18,10453
2011-10-17,10430
2011-10-16,10414
2011-10-15,10402
2011-10-14,10373
2011-10-13,10351
2011-10-12,10313
2011-10-11,10290
2011-10-10,10274
2011-10-09,10255
2011-10-08,10237
2011-10-07,10217
2011-10-06,10192
2011-10-05,10163
2011-10-04,10146
2011-10-03,10133
2011-10-02,10122
2011-10-01,10107
2011-09-30,10085
2011-09-29,10069
2011-09-28,10039
2011-09-27,10023
2011-09-26,10002
2011-09-25,9982
2011-09-24,9967
2011-09-23,9950
2011-09-22,9933
2011-09-21,9913
2011-09-20,9900
2011-09-19,9876
2011-09-18,9861
2011-09-17,9845
2011-09-16,9828
2011-09-15,9800
2011-09-14,9759
2011-09-13,9726
2011-09-12,9689
2011-09-11,9673
2011-09-10,9652
2011-09-09,9635
2011-09-08,9615
2011-09-07,9590
2011-09-06,9571
2011-09-05,9545
2011-09-04,9519
2011-09-03,9501
2011-09-02,9486
2011-09-01,9456
2011-08-31,9415
2011-08-30,9390
2011-08-29,9365
2011-08-27,9297
2011-08-26,9279
2011-08-25,9241
2011-08-24,9206
2011-08-23,9156
2011-08-22,9107
2011-08-21,9083
2011-08-20,9059
2011-08-19,9040
2011-08-18,9018
2011-08-17,9004
2011-08-16,8980
2011-08-15,8923
2011-08-14,8895
2011-08-13,8882
2011-08-12,8881
2011-08-11,8875
2011-08-10,8869
2011-08-09,8853
2011-08-08,8838
2011-08-07,8828
2011-08-06,8811
2011-08-05,8802
2011-08-04,8792
2011-08-03,8778
2011-08-02,8763
2011-08-01,8750
2011-07-31,8740
2011-07-30,8726
2011-07-29,8724
2011-07-28,8712
2011-07-27,8702
2011-07-26,8688
2011-07-25,8675
2011-07-24,8664
2011-07-23,8654
2011-07-22,8629
2011-07-21,8612
2011-07-20,8598
2011-07-19,8581
2011-07-18,8566
2011-07-17,8556
2011-07-16,8542
2011-07-15,8533
2011-07-14,8518
2011-07-13,8502
2011-07-12,8482
2011-07-11,8466
2011-07-10,8447
2011-07-09,8436
2011-07-08,8412
2011-07-07,8389
2011-07-06,8375
2011-07-05,8333
2011-07-04,8303
2011-07-03,8273
2011-07-02,8246
2011-07-01,8229
2011-06-30,8208
2011-06-29,8183
2011-06-28,8166
2011-06-27,8144
2011-06-26,8127
2011-06-25,8109
2011-06-24,8086
2011-06-23,8057
2011-06-22,8036
